measurement_no,specimen_no,measurement_type,average,reid_no,is_type,specimen_part,identified_name,identified_no,difference,accepted_name_x,accepted_no,max_ma,min_ma,reference_no,accepted_name_y,class,order,family,genus,diet,_merge
36297,18619,circumference,28.0,0,neither,fibula,Ornithomimus edmontonensis,57270,"misspelling of, obsolete variant of",Ornithomimus edmontonicus,63438,,,34423,Ornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Ornithomimus,"herbivore, omnivore",both
36298,18620,length,497.0,0,neither,femur,Ornithomimus edmontonensis,57270,"misspelling of, obsolete variant of",Ornithomimus edmontonicus,63438,,,34423,Ornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Ornithomimus,"herbivore, omnivore",both
36299,18620,circumference,143.0,0,neither,femur,Ornithomimus edmontonensis,57270,"misspelling of, obsolete variant of",Ornithomimus edmontonicus,63438,,,34423,Ornithomimus,Saurischia,Avetheropoda,Ornithomimidae,Ornithomimus,"herbivore, omnivore",both
36300,18621,circumference,127.0,0,neither,femur,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36301,18621,length,486.0,0,neither,femur,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36860,18621,width,44.0,0,neither,femur,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36302,18622,circumference,40.0,0,neither,fibula,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36303,18622,length,526.0,0,neither,fibula,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36304,18623,circumference,99.0,0,neither,femur,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36305,18623,length,372.0,0,neither,femur,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36306,18624,circumference,90.0,0,neither,tibia,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36307,18624,length,419.0,0,neither,tibia,Struthiomimus altus,57266,,Struthiomimus altus,57268,83.6,72.1,34423,Struthiomimus,Saurischia,Avetheropoda,,Struthiomimus,"herbivore, omnivore",both
36308,18625,length,661.0,0,neither,femur,Alectrosaurus olseni,57253,,Alectrosaurus olseni,57253,83.5,70.6,34423,Alectrosaurus,Saurischia,Avetheropoda,,Alectrosaurus,carnivore,both
36309,18625,circumference,215.0,0,neither,femur,Alectrosaurus olseni,57253,,Alectrosaurus olseni,57253,83.5,70.6,34423,Alectrosaurus,Saurischia,Avetheropoda,,Alectrosaurus,carnivore,both
36310,18626,length,748.0,0,neither,tibia,Alectrosaurus olseni,57253,,Alectrosaurus olseni,57253,83.5,70.6,34423,Alectrosaurus,Saurischia,Avetheropoda,,Alectrosaurus,carnivore,both
36311,18626,circumference,201.0,0,neither,tibia,Alectrosaurus olseni,57253,,Alectrosaurus olseni,57253,83.5,70.6,34423,Alectrosaurus,Saurischia,Avetheropoda,,Alectrosaurus,carnivore,both
36312,18627,length,654.0,0,neither,femur,Gorgosaurus libratus,53194,,Gorgosaurus libratus,53194,,,34423,Gorgosaurus,Saurischia,Avetheropoda,Tyrannosauridae,Gorgosaurus,carnivore,both
36313,18627,circumference,188.0,0,neither,femur,Gorgosaurus libratus,53194,,Gorgosaurus libratus,53194,,,34423,Gorgosaurus,Saurischia,Avetheropoda,Tyrannosauridae,Gorgosaurus,carnivore,both
36314,18628,length,689.0,0,neither,tibia,Gorgosaurus libratus,53194,,Gorgosaurus libratus,53194,,,34423,Gorgosaurus,Saurischia,Avetheropoda,Tyrannosauridae,Gorgosaurus,carnivore,both
36315,18628,circumference,191.0,0,neither,tibia,Gorgosaurus libratus,53194,,Gorgosaurus libratus,53194,,,34423,Gorgosaurus,Saurischia,Avetheropoda,Tyrannosauridae,Gorgosaurus,carnivore,both
36316,18629,length,690.0,0,neither,fibula,Gorgosaurus libratus,53194,,Gorgosaurus libratus,53194,,,34423,Gorgosaurus,Saurischia,Avetheropoda,Tyrannosauridae,Gorgosaurus,carnivore,both
