"measurement_no","specimen_no","record_type","n_measured","position","measurement_type","average","min","max"
"36805","18996","mea","1","","length","304.8","",""
"36806","18996","mea","1","","circumference","136.525","",""
"36807","18997","mea","1","","width","55","",""
"36808","18997","mea","1","","length","370","",""
"36809","18998","mea","1","","width","35","",""
"36810","18998","mea","1","","length","220","",""
"36811","18999","mea","1","","width","38","",""
"36812","18999","mea","1","","length","255","",""
"36813","19000","mea","1","","width","110","",""
"36814","19000","mea","1","","length","1277","",""
"36815","19000","mea","1","","circumference","425","",""
"36816","19001","mea","1","","length","958","",""
"36817","19002","mea","1","","length","1090","",""
"36818","19002","mea","1","","circumference","388","",""
"36819","19003","mea","1","","width","59","",""
"36820","19003","mea","1","","length","187","",""
"36821","19004","mea","1","","length","35","",""
"36822","19005","mea","1","","length","143","",""
"36823","19006","mea","1","","length","102","",""
"36824","19007","mea","1","","length","45","",""
"36825","19008","mea","1","","length","244","",""
"36826","19009","mea","1","","length","258","",""
"36827","19010","mea","1","","length","235","",""
"36828","19011","mea","1","","length","207","",""
"36829","19012","mea","1","","length","482","",""
"36830","19013","mea","1","","length","115","",""
"36831","19014","mea","1","","length","360","",""
"36832","19015","mea","1","","length","262","",""
"36833","19016","mea","1","","length","232","",""
"36834","19017","mea","1","","length","545","",""
"36835","19018","mea","1","","length","1314.5","",""
"36836","19019","mea","1","","length","895","",""
"36837","19020","mea","1","","length","993","",""
"36838","19021","mea","1","","length","960","",""
"36839","19022","mea","1","","length","860","",""
"36840","19023","mea","1","","width","29","",""
"36841","19023","mea","1","","length","292","",""
"36842","19024","mea","1","","width","60","",""
"36843","19024","mea","1","","length","630","",""
"36844","19025","mea","1","","width","48","",""
"36845","19025","mea","1","","length","520","",""
"36854","19030","mea","1","","length","207","",""
"36855","19031","mea","1","","length","159","",""
"36856","19032","mea","1","","length","127","",""
"36857","19033","mea","1","","width","45","",""
"36858","19033","mea","1","","length","430","",""
"36859","19034","mea","1","","length","560","",""
"36861","19035","mea","1","","length","335","",""
"36862","19036","mea","1","","length","310","",""
"36863","19037","mea","1","","length","230","",""
"36864","19038","mea","1","","length","540","",""
"36865","19039","mea","1","","length","1360","",""
